ground_truth,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate,slowdown
29535,51.68,64.9,61.52,89.79,100.0,79.58,37.6,0.0
46944,9.36,35.12,35.12,50.2,100.0,0.09,4.94,0.0
1568,0.01,8.47,0.06,6.19,100.0,0.0,99.06,0.0
1504,0.02,10.43,0.07,6.68,100.0,0.0,99.07,0.0
15968,15.09,66.3,66.3,82.48,100.0,0.0,47.56,0.0
774368,86.16,67.37,7.73,12.45,12.5,12.69,89.18,0.0
781088,85.35,35.58,6.23,12.47,12.5,7.08,71.65,0.0
22080,7.82,30.27,30.27,36.85,56.25,7.39,11.43,0.0
1664,0.02,9.8,0.06,6.77,100.0,0.0,99.17,0.0
5824,9.72,35.75,35.75,73.61,100.0,0.0,52.77,0.0
96864,9.89,89.21,89.21,87.46,100.0,0.0,37.27,0.1230910113075884
99680,9.88,88.9,88.9,87.8,100.0,0.0,36.75,0.6664526484751204
99328,9.81,88.55,88.55,87.15,100.0,0.0,37.06,0.0119201030927835
66304,11.57,82.2,82.2,82.53,100.0,0.0,52.95,0.0815787886100386
69375,11.78,84.05,84.05,83.36,100.0,0.0,52.5,0.0401441441441441
68641,11.79,83.8,83.8,84.8,100.0,0.0,52.35,0.0260974517952717
68800,11.75,83.52,83.52,84.12,100.0,0.0,53.22,0.0
100832,9.93,89.48,89.48,86.75,100.0,0.0,36.63,0.0
98720,9.93,88.86,88.86,87.02,100.0,23.29,35.38,0.0
67168,11.77,83.93,83.93,84.21,100.0,0.0,53.36,0.0
99840,9.91,88.53,88.53,85.83,100.0,24.46,35.57,0.0
830945,80.86,63.54,30.84,12.46,12.5,9.86,60.5,0.0
781408,85.28,35.55,6.85,12.47,12.5,7.08,70.05,0.0
51776,12.07,60.09,60.09,50.31,56.25,5.57,7.03,0.0
1792,0.05,9.02,0.14,6.28,100.0,0.0,98.04,0.0
6528,9.6,35.33,35.33,69.37,100.0,0.0,52.3,0.0
27712,52.83,66.23,61.44,88.67,100.0,79.76,39.0,0.5481139337952271
46336,9.45,35.33,35.33,50.33,100.0,0.09,10.98,0.0131215469613259
20544,10.69,74.21,74.21,82.35,100.0,29.42,37.95,0.0155763239875389
1856,0.01,9.53,0.06,7.03,100.0,0.0,99.1,0.0
1856,0.02,9.79,0.06,5.75,100.0,0.0,99.12,0.2241379310344828
16864,15.01,65.69,65.69,78.86,100.0,0.0,49.97,0.0113851992409867
229952,77.0,73.67,9.26,12.35,12.5,0.87,87.29,0.356727032949127
192064,85.45,35.03,6.29,12.51,12.5,0.0,64.31,0.0
6464,17.23,40.76,40.76,85.45,100.0,0.0,19.31,0.0
22688,7.94,30.75,30.75,35.79,56.25,7.38,14.18,0.0
1504,0.02,9.84,0.06,7.07,100.0,0.0,99.35,0.0
2784,5.49,18.61,15.94,39.63,100.0,0.0,63.7,0.0
23680,63.88,37.89,37.89,83.53,100.0,0.0,55.93,0.3253378378378379
147904,84.05,58.6,40.25,12.24,12.5,0.0,23.53,0.3052790999567287
218208,64.42,51.29,26.25,12.4,12.5,0.77,93.38,0.0157076426213871
150048,14.15,89.13,89.13,85.39,100.0,0.0,47.59,0.0
195936,9.77,91.36,91.36,87.98,100.0,0.0,35.54,0.0
197215,13.53,90.67,90.67,50.96,56.25,0.0,35.34,0.0
1472,0.01,11.48,0.04,5.6,100.0,0.0,99.56,0.0
158144,81.77,48.8,48.8,85.15,100.0,15.58,69.44,0.0
181440,67.39,61.12,61.12,86.28,100.0,11.11,50.43,0.0
147713,84.5,58.94,40.47,12.27,12.5,0.0,18.62,0.0
176832,75.9,85.73,33.37,23.4,25.0,0.0,69.35,0.0
23936,64.43,37.99,37.99,81.44,100.0,0.0,53.06,0.0
25152,64.02,38.21,38.21,83.13,100.0,0.0,53.74,0.0
81472,50.49,55.75,41.5,84.41,100.0,0.0,72.21,0.0
665984,78.49,75.3,9.21,12.4,12.5,3.02,87.44,0.0
598400,83.01,34.34,5.8,12.48,12.5,5.5,72.27,0.0
44737,11.93,49.52,49.52,49.55,56.25,7.2,10.24,0.0
